Estado,População,Região
Rondônia,1777225,Norte
Acre,881935,Norte
Amazonas,4144597,Norte
Roraima,605761,Norte
Pará,8602865,Norte
Amapá,845731,Norte
Tocantins,1572866,Norte
Maranhão,7075181,Nordeste
Piauí,3273227,Nordeste
Ceará,9132078,Nordeste
Rio Grande do Norte,3506853,Nordeste
Paraíba,4018127,Nordeste
Pernambuco,9557071,Nordeste
Alagoas,3337357,Nordeste
Sergipe,2298696,Nordeste
Bahia,14873064,Nordeste
Minas Gerais,21168791,Sudeste
Espírito Santo,4018650,Sudeste
Rio de Janeiro,17264943,Sudeste
São Paulo,45919049,Sudeste
Paraná,11433957,Sul
Santa Catarina,7164788,Sul
Rio Grande do Sul,11377239,Sul
Mato Grosso do Sul,2778986,Centro-Oeste
Mato Grosso,3484466,Centro-Oeste
Goiás,7018354,Centro-Oeste
Distrito Federal,3015268,Centro-Oeste
